,Gender,Sector,Job,Characteristic,Response
1,f,bus,Accountant,Ambitious,4.03
2,f,bus,Accountant,Charitable,2.83
3,f,bus,Accountant,Family.Orientated,3.27
4,f,bus,Accountant,Honest,3.83
5,f,bus,Accountant,Intelligent,4.37
6,f,bus,Accountant,Powerful,3.63
7,f,bus,Accountant,Reliable,4.03
8,f,bus,Accountant,Skilful,4.2
9,f,bus,Accountant,Trustworthy,3.9
10,m,bus,Accountant,Ambitious,3.93
11,m,bus,Accountant,Charitable,2.7
12,m,bus,Accountant,Family.Orientated,3.1
13,m,bus,Accountant,Honest,3.57
14,m,bus,Accountant,Intelligent,4.33
15,m,bus,Accountant,Powerful,3.87
16,m,bus,Accountant,Reliable,3.8
17,m,bus,Accountant,Skilful,4.13
18,m,bus,Accountant,Trustworthy,3.7
19,f,bus,Admin assistant / Office clerk,Ambitious,3.21
20,f,bus,Admin assistant / Office clerk,Charitable,2.93
21,f,bus,Admin assistant / Office clerk,Family.Orientated,3.45
22,f,bus,Admin assistant / Office clerk,Honest,3.48
23,f,bus,Admin assistant / Office clerk,Intelligent,3.31
24,f,bus,Admin assistant / Office clerk,Powerful,2.55
25,f,bus,Admin assistant / Office clerk,Reliable,3.52
26,f,bus,Admin assistant / Office clerk,Skilful,3.41
27,f,bus,Admin assistant / Office clerk,Trustworthy,3.41
28,m,bus,Admin assistant / Office clerk,Ambitious,2.77
29,m,bus,Admin assistant / Office clerk,Charitable,2.73
30,m,bus,Admin assistant / Office clerk,Family.Orientated,3.17
31,m,bus,Admin assistant / Office clerk,Honest,3.4
32,m,bus,Admin assistant / Office clerk,Intelligent,3.23
33,m,bus,Admin assistant / Office clerk,Powerful,2.3
34,m,bus,Admin assistant / Office clerk,Reliable,3.53
35,m,bus,Admin assistant / Office clerk,Skilful,3.43
36,m,bus,Admin assistant / Office clerk,Trustworthy,3.6
37,f,bus,Apprentice electrician,Ambitious,3.27
38,f,bus,Apprentice electrician,Charitable,2.67
39,f,bus,Apprentice electrician,Family.Orientated,3.1
40,f,bus,Apprentice electrician,Honest,3.2
41,f,bus,Apprentice electrician,Intelligent,3.07
42,f,bus,Apprentice electrician,Powerful,2.03
43,f,bus,Apprentice electrician,Reliable,3.13
44,f,bus,Apprentice electrician,Skilful,3.37
45,f,bus,Apprentice electrician,Trustworthy,3.13
46,m,bus,Apprentice electrician,Ambitious,3.4
47,m,bus,Apprentice electrician,Charitable,2.4
48,m,bus,Apprentice electrician,Family.Orientated,3.07
49,m,bus,Apprentice electrician,Honest,3.3
50,m,bus,Apprentice electrician,Intelligent,3.2
51,m,bus,Apprentice electrician,Powerful,2.1
52,m,bus,Apprentice electrician,Reliable,2.97
53,m,bus,Apprentice electrician,Skilful,3.53
54,m,bus,Apprentice electrician,Trustworthy,3.17
55,f,bus,Bar / Night club staff,Ambitious,2.53
56,f,bus,Bar / Night club staff,Charitable,2.47
57,f,bus,Bar / Night club staff,Family.Orientated,2.73
58,f,bus,Bar / Night club staff,Honest,3.17
59,f,bus,Bar / Night club staff,Intelligent,2.7
60,f,bus,Bar / Night club staff,Powerful,2.03
61,f,bus,Bar / Night club staff,Reliable,3.23
62,f,bus,Bar / Night club staff,Skilful,3.23
63,f,bus,Bar / Night club staff,Trustworthy,3.03
64,m,bus,Bar / Night club staff,Ambitious,2.73
65,m,bus,Bar / Night club staff,Charitable,2.53
66,m,bus,Bar / Night club staff,Family.Orientated,2.7
67,m,bus,Bar / Night club staff,Honest,2.93
68,m,bus,Bar / Night club staff,Intelligent,2.93
69,m,bus,Bar / Night club staff,Powerful,2.33
70,m,bus,Bar / Night club staff,Reliable,3
71,m,bus,Bar / Night club staff,Skilful,3.2
72,m,bus,Bar / Night club staff,Trustworthy,2.87
73,f,bus,Barista (coffee shop),Ambitious,2.6
74,f,bus,Barista (coffee shop),Charitable,2.6
75,f,bus,Barista (coffee shop),Family.Orientated,2.83
76,f,bus,Barista (coffee shop),Honest,3.07
77,f,bus,Barista (coffee shop),Intelligent,2.53
78,f,bus,Barista (coffee shop),Powerful,2
79,f,bus,Barista (coffee shop),Reliable,3.2
80,f,bus,Barista (coffee shop),Skilful,3.03
81,f,bus,Barista (coffee shop),Trustworthy,3.03
82,m,bus,Barista (coffee shop),Ambitious,2.77
83,m,bus,Barista (coffee shop),Charitable,2.63
84,m,bus,Barista (coffee shop),Family.Orientated,3.07
85,m,bus,Barista (coffee shop),Honest,3.37
86,m,bus,Barista (coffee shop),Intelligent,2.93
87,m,bus,Barista (coffee shop),Powerful,1.9
88,m,bus,Barista (coffee shop),Reliable,3.33
89,m,bus,Barista (coffee shop),Skilful,3.57
90,m,bus,Barista (coffee shop),Trustworthy,3.27
91,f,gov,Barrister / Judge,Ambitious,4.53
92,f,gov,Barrister / Judge,Charitable,3.27
93,f,gov,Barrister / Judge,Family.Orientated,3.43
94,f,gov,Barrister / Judge,Honest,4.13
95,f,gov,Barrister / Judge,Intelligent,4.63
96,f,gov,Barrister / Judge,Powerful,4.6
97,f,gov,Barrister / Judge,Reliable,4.13
98,f,gov,Barrister / Judge,Skilful,4.3
99,f,gov,Barrister / Judge,Trustworthy,4.13
100,m,gov,Barrister / Judge,Ambitious,4.23
101,m,gov,Barrister / Judge,Charitable,4
102,m,gov,Barrister / Judge,Family.Orientated,2.8
103,m,gov,Barrister / Judge,Honest,4.3
104,m,gov,Barrister / Judge,Intelligent,4.53
105,m,gov,Barrister / Judge,Powerful,4.6
106,m,gov,Barrister / Judge,Reliable,4.23
107,m,gov,Barrister / Judge,Skilful,4.37
108,m,gov,Barrister / Judge,Trustworthy,4
109,f,gov,Bin collection worker,Ambitious,2.2
110,f,gov,Bin collection worker,Charitable,2.47
111,f,gov,Bin collection worker,Family.Orientated,2.97
112,f,gov,Bin collection worker,Honest,2.93
113,f,gov,Bin collection worker,Intelligent,2.23
114,f,gov,Bin collection worker,Powerful,1.8
115,f,gov,Bin collection worker,Reliable,3.1
116,f,gov,Bin collection worker,Skilful,2.37
117,f,gov,Bin collection worker,Trustworthy,2.97
118,m,gov,Bin collection worker,Ambitious,2.2
119,m,gov,Bin collection worker,Charitable,2.5
120,m,gov,Bin collection worker,Family.Orientated,2.9
121,m,gov,Bin collection worker,Honest,2.87
122,m,gov,Bin collection worker,Intelligent,2.33
123,m,gov,Bin collection worker,Powerful,1.77
124,m,gov,Bin collection worker,Reliable,3.1
125,m,gov,Bin collection worker,Skilful,2.47
126,m,gov,Bin collection worker,Trustworthy,2.93
127,f,bus,Business Person / Entrepreneur / CEO,Ambitious,4.57
128,f,bus,Business Person / Entrepreneur / CEO,Charitable,2.87
129,f,bus,Business Person / Entrepreneur / CEO,Family.Orientated,3.07
130,f,bus,Business Person / Entrepreneur / CEO,Honest,3.27
131,f,bus,Business Person / Entrepreneur / CEO,Intelligent,4.4
132,f,bus,Business Person / Entrepreneur / CEO,Powerful,4.63
133,f,bus,Business Person / Entrepreneur / CEO,Reliable,3.77
134,f,bus,Business Person / Entrepreneur / CEO,Skilful,4.43
135,f,bus,Business Person / Entrepreneur / CEO,Trustworthy,3.37
136,m,bus,Business Person / Entrepreneur / CEO,Ambitious,4.4
137,m,bus,Business Person / Entrepreneur / CEO,Charitable,2.7
138,m,bus,Business Person / Entrepreneur / CEO,Family.Orientated,2.8
139,m,bus,Business Person / Entrepreneur / CEO,Honest,2.83
140,m,bus,Business Person / Entrepreneur / CEO,Intelligent,4.3
141,m,bus,Business Person / Entrepreneur / CEO,Powerful,4.4
142,m,bus,Business Person / Entrepreneur / CEO,Reliable,3.57
143,m,bus,Business Person / Entrepreneur / CEO,Skilful,4.3
144,m,bus,Business Person / Entrepreneur / CEO,Trustworthy,3
145,f,gov,Civil Servant,Ambitious,3.4
146,f,gov,Civil Servant,Charitable,3.27
147,f,gov,Civil Servant,Family.Orientated,3.37
148,f,gov,Civil Servant,Honest,3.5
149,f,gov,Civil Servant,Intelligent,3.63
150,f,gov,Civil Servant,Powerful,3.27
151,f,gov,Civil Servant,Reliable,3.6
152,f,gov,Civil Servant,Skilful,3.6
153,f,gov,Civil Servant,Trustworthy,3.53
154,m,gov,Civil Servant,Ambitious,3.4
155,m,gov,Civil Servant,Charitable,3.07
156,m,gov,Civil Servant,Family.Orientated,3.2
157,m,gov,Civil Servant,Honest,3.4
158,m,gov,Civil Servant,Intelligent,3.57
159,m,gov,Civil Servant,Powerful,3.33
160,m,gov,Civil Servant,Reliable,3.57
161,m,gov,Civil Servant,Skilful,3.53
162,m,gov,Civil Servant,Trustworthy,3.57
163,f,heal,Cleaner,Ambitious,2.3
164,f,heal,Cleaner,Charitable,2.87
165,f,heal,Cleaner,Family.Orientated,3.53
166,f,heal,Cleaner,Honest,3.4
167,f,heal,Cleaner,Intelligent,2.27
168,f,heal,Cleaner,Powerful,1.87
169,f,heal,Cleaner,Reliable,3.43
170,f,heal,Cleaner,Skilful,2.63
171,f,heal,Cleaner,Trustworthy,3.23
172,m,heal,Cleaner,Ambitious,2.1
173,m,heal,Cleaner,Charitable,2.27
174,m,heal,Cleaner,Family.Orientated,2.87
175,m,heal,Cleaner,Honest,2.73
176,m,heal,Cleaner,Intelligent,2.17
177,m,heal,Cleaner,Powerful,1.8
178,m,heal,Cleaner,Reliable,2.87
179,m,heal,Cleaner,Skilful,2.43
180,m,heal,Cleaner,Trustworthy,2.8
181,f,heal,Doctor / Consultant Physician,Ambitious,4.53
182,f,heal,Doctor / Consultant Physician,Charitable,3.83
183,f,heal,Doctor / Consultant Physician,Family.Orientated,3.53
184,f,heal,Doctor / Consultant Physician,Honest,4.5
185,f,heal,Doctor / Consultant Physician,Intelligent,4.87
186,f,heal,Doctor / Consultant Physician,Powerful,4.57
187,f,heal,Doctor / Consultant Physician,Reliable,4.5
188,f,heal,Doctor / Consultant Physician,Skilful,4.73
189,f,heal,Doctor / Consultant Physician,Trustworthy,4.5
190,m,heal,Doctor / Consultant Physician,Ambitious,4.43
191,m,heal,Doctor / Consultant Physician,Charitable,3.8
192,m,heal,Doctor / Consultant Physician,Family.Orientated,3.7
193,m,heal,Doctor / Consultant Physician,Honest,4.3
194,m,heal,Doctor / Consultant Physician,Intelligent,4.8
195,m,heal,Doctor / Consultant Physician,Powerful,4.33
196,m,heal,Doctor / Consultant Physician,Reliable,4.43
197,m,heal,Doctor / Consultant Physician,Skilful,4.7
198,m,heal,Doctor / Consultant Physician,Trustworthy,4.4
199,f,pubt,Public transport driver,Ambitious,2.27
200,f,pubt,Public transport driver,Charitable,2.47
201,f,pubt,Public transport driver,Family.Orientated,3.03
202,f,pubt,Public transport driver,Honest,3.17
203,f,pubt,Public transport driver,Intelligent,2.43
204,f,pubt,Public transport driver,Powerful,2.03
205,f,pubt,Public transport driver,Reliable,3.13
206,f,pubt,Public transport driver,Skilful,3
207,f,pubt,Public transport driver,Trustworthy,3.13
208,m,pubt,Public transport driver,Ambitious,2.47
209,m,pubt,Public transport driver,Charitable,2.7
210,m,pubt,Public transport driver,Family.Orientated,3.07
211,m,pubt,Public transport driver,Honest,3.2
212,m,pubt,Public transport driver,Intelligent,2.67
213,m,pubt,Public transport driver,Powerful,2.2
214,m,pubt,Public transport driver,Reliable,3.07
215,m,pubt,Public transport driver,Skilful,3.13
216,m,pubt,Public transport driver,Trustworthy,3.13
217,f,med,Newspaper Editor,Ambitious,3.8
218,f,med,Newspaper Editor,Charitable,2.8
219,f,med,Newspaper Editor,Family.Orientated,3.03
220,f,med,Newspaper Editor,Honest,2.7
221,f,med,Newspaper Editor,Intelligent,4
222,f,med,Newspaper Editor,Powerful,3.7
223,f,med,Newspaper Editor,Reliable,3.23
224,f,med,Newspaper Editor,Skilful,3.7
225,f,med,Newspaper Editor,Trustworthy,2.73
226,m,med,Newspaper Editor,Ambitious,3.87
227,m,med,Newspaper Editor,Charitable,3.4
228,m,med,Newspaper Editor,Family.Orientated,2.87
229,m,med,Newspaper Editor,Honest,2.93
230,m,med,Newspaper Editor,Intelligent,4.03
231,m,med,Newspaper Editor,Powerful,3.33
232,m,med,Newspaper Editor,Reliable,2.87
233,m,med,Newspaper Editor,Skilful,3.9
234,m,med,Newspaper Editor,Trustworthy,2.53
235,f,bus,Electrical / Aircraft Engineer,Ambitious,4.03
236,f,bus,Electrical / Aircraft Engineer,Charitable,2.97
237,f,bus,Electrical / Aircraft Engineer,Family.Orientated,3.17
238,f,bus,Electrical / Aircraft Engineer,Honest,3.77
239,f,bus,Electrical / Aircraft Engineer,Intelligent,4.27
240,f,bus,Electrical / Aircraft Engineer,Powerful,3.4
241,f,bus,Electrical / Aircraft Engineer,Reliable,4.1
242,f,bus,Electrical / Aircraft Engineer,Skilful,4.27
243,f,bus,Electrical / Aircraft Engineer,Trustworthy,3.83
244,m,bus,Electrical / Aircraft Engineer,Ambitious,3.83
245,m,bus,Electrical / Aircraft Engineer,Charitable,3.03
246,m,bus,Electrical / Aircraft Engineer,Family.Orientated,3.17
247,m,bus,Electrical / Aircraft Engineer,Honest,3.77
248,m,bus,Electrical / Aircraft Engineer,Intelligent,4.3
249,m,bus,Electrical / Aircraft Engineer,Powerful,3.2
250,m,bus,Electrical / Aircraft Engineer,Reliable,4.07
251,m,bus,Electrical / Aircraft Engineer,Skilful,4.5
252,m,bus,Electrical / Aircraft Engineer,Trustworthy,3.87
253,f,mil,Entry level Military personnel,Ambitious,3.87
254,f,mil,Entry level Military personnel,Charitable,3.3
255,f,mil,Entry level Military personnel,Family.Orientated,3.03
256,f,mil,Entry level Military personnel,Honest,3.67
257,f,mil,Entry level Military personnel,Intelligent,3.43
258,f,mil,Entry level Military personnel,Powerful,2.77
259,f,mil,Entry level Military personnel,Reliable,3.6
260,f,mil,Entry level Military personnel,Skilful,3.67
261,f,mil,Entry level Military personnel,Trustworthy,3.53
262,m,mil,Entry level Military personnel,Ambitious,3.9
263,m,mil,Entry level Military personnel,Charitable,3.5
264,m,mil,Entry level Military personnel,Family.Orientated,3.03
265,m,mil,Entry level Military personnel,Honest,3.63
266,m,mil,Entry level Military personnel,Intelligent,3.47
267,m,mil,Entry level Military personnel,Powerful,2.93
268,m,mil,Entry level Military personnel,Reliable,3.77
269,m,mil,Entry level Military personnel,Skilful,4.03
270,m,mil,Entry level Military personnel,Trustworthy,3.67
271,f,mil,General / Officer / Admiral,Ambitious,3.97
272,f,mil,General / Officer / Admiral,Charitable,3.77
273,f,mil,General / Officer / Admiral,Family.Orientated,2.9
274,f,mil,General / Officer / Admiral,Honest,4.37
275,f,mil,General / Officer / Admiral,Intelligent,3.93
276,f,mil,General / Officer / Admiral,Powerful,4.13
277,f,mil,General / Officer / Admiral,Reliable,4.17
278,f,mil,General / Officer / Admiral,Skilful,4.07
279,f,mil,General / Officer / Admiral,Trustworthy,4.1
280,m,mil,General / Officer / Admiral,Ambitious,4.07
281,m,mil,General / Officer / Admiral,Charitable,3.13
282,m,mil,General / Officer / Admiral,Family.Orientated,3.23
283,m,mil,General / Officer / Admiral,Honest,3.9
284,m,mil,General / Officer / Admiral,Intelligent,3.83
285,m,mil,General / Officer / Admiral,Powerful,3.97
286,m,mil,General / Officer / Admiral,Reliable,4.03
287,m,mil,General / Officer / Admiral,Skilful,4.2
288,m,mil,General / Officer / Admiral,Trustworthy,3.87
289,f,edu,Head teacher ,Ambitious,4.2
290,f,edu,Head teacher ,Charitable,3.53
291,f,edu,Head teacher ,Family.Orientated,3.63
292,f,edu,Head teacher ,Honest,4
293,f,edu,Head teacher ,Intelligent,4.27
294,f,edu,Head teacher ,Powerful,4.2
295,f,edu,Head teacher ,Reliable,4.03
296,f,edu,Head teacher ,Skilful,4.03
297,f,edu,Head teacher ,Trustworthy,4.1
298,m,edu,Head teacher ,Ambitious,3.87
299,m,edu,Head teacher ,Charitable,3.7
300,m,edu,Head teacher ,Family.Orientated,3.4
301,m,edu,Head teacher ,Honest,3.97
302,m,edu,Head teacher ,Intelligent,4.07
303,m,edu,Head teacher ,Powerful,4.27
304,m,edu,Head teacher ,Reliable,3.67
305,m,edu,Head teacher ,Skilful,3.83
306,m,edu,Head teacher ,Trustworthy,3.97
307,f,gov,MP / Prime minister / President,Ambitious,4.57
308,f,gov,MP / Prime minister / President,Charitable,2.8
309,f,gov,MP / Prime minister / President,Family.Orientated,2.77
310,f,gov,MP / Prime minister / President,Honest,2.9
311,f,gov,MP / Prime minister / President,Intelligent,4.23
312,f,gov,MP / Prime minister / President,Powerful,4.83
313,f,gov,MP / Prime minister / President,Reliable,2.8
314,f,gov,MP / Prime minister / President,Skilful,3.87
315,f,gov,MP / Prime minister / President,Trustworthy,2.83
316,m,gov,MP / Prime minister / President,Ambitious,4.5
317,m,gov,MP / Prime minister / President,Charitable,2.73
318,m,gov,MP / Prime minister / President,Family.Orientated,2.83
319,m,gov,MP / Prime minister / President,Honest,2.67
320,m,gov,MP / Prime minister / President,Intelligent,4.1
321,m,gov,MP / Prime minister / President,Powerful,4.7
322,m,gov,MP / Prime minister / President,Reliable,2.97
323,m,gov,MP / Prime minister / President,Skilful,3.9
324,m,gov,MP / Prime minister / President,Trustworthy,2.67
325,f,bus,Olympic team GB coach,Ambitious,4.6
326,f,bus,Olympic team GB coach,Charitable,3.57
327,f,bus,Olympic team GB coach,Family.Orientated,3.17
328,f,bus,Olympic team GB coach,Honest,4.23
329,f,bus,Olympic team GB coach,Intelligent,3.77
330,f,bus,Olympic team GB coach,Powerful,3.87
331,f,bus,Olympic team GB coach,Reliable,4.17
332,f,bus,Olympic team GB coach,Skilful,4.53
333,f,bus,Olympic team GB coach,Trustworthy,4.1
334,m,bus,Olympic team GB coach,Ambitious,4.4
335,m,bus,Olympic team GB coach,Charitable,3.4
336,m,bus,Olympic team GB coach,Family.Orientated,3.1
337,m,bus,Olympic team GB coach,Honest,4.13
338,m,bus,Olympic team GB coach,Intelligent,3.73
339,m,bus,Olympic team GB coach,Powerful,3.67
340,m,bus,Olympic team GB coach,Reliable,4.13
341,m,bus,Olympic team GB coach,Skilful,4.33
342,m,bus,Olympic team GB coach,Trustworthy,4.03
343,f,pubt,Airplane Pilot,Ambitious,4.27
344,f,pubt,Airplane Pilot,Charitable,3.1
345,f,pubt,Airplane Pilot,Family.Orientated,3.17
346,f,pubt,Airplane Pilot,Honest,4.27
347,f,pubt,Airplane Pilot,Intelligent,4.37
348,f,pubt,Airplane Pilot,Powerful,4.07
349,f,pubt,Airplane Pilot,Reliable,4.37
350,f,pubt,Airplane Pilot,Skilful,4.63
351,f,pubt,Airplane Pilot,Trustworthy,4.33
