Code,Full Job Name,,
ed,Newspaper Editor,,
vc,Vice Chancellor,,
barr,Barrister / Judge,,
gen,General / Officer / Admiral,,
ceo,Business Person / Entrepreneur / CEO,,
tv,TV Show Producer,,
super,Supermarket manager,,
doc,Doctor / Consultant Physician,,
elect,Electrical / Aircraft Engineer,,
pilot,Airplane Pilot,,
head,Head teacher ,,
vet,Veterinarian,,
mp,MP / Prime minister / President,,
acc,Accountant,,
prop,Property Developer,,
olymp,Olympic team GB coach,,
proof,Proof reader,,
ta,Teaching Assistant,,
civil,Civil Servant,,
entr,Entry level Military personnel,,
admin,Admin assistant / Office clerk,,
tvcam,TV Camera Operator,,
shelf,Supermarket shelf stocker,,
stnur,Student Nurse,,
appelect,Apprentice electrician,,
driver,Public transport driver,,
clean,Cleaner,,
barist,Barista (coffee shop),,
bin,Bin collection worker,,
wait,Waiting staff (restaurant),,
retail,Retail shop assistant,,
bar,Bar / Night club staff,,
